id,Extracted Price,Extracted Bedrooms,Extracted area,Extracted Bathrooms,Extracted Area_JHB,Extracted listing agency,Extracted Type,Extracted Available Month
20190963,9250,,76.0,0.0,None, None,None,None
20190964,12000,1,133.0,1.0,Maboneng, Lukhanyo Property,Apartment,March
20190965,8000,,0.0,0.0,None, None,None,None
20190967,6850,,0.0,0.0,None, None,None,None
20190968,10000,3,109.0,3.0,Emmarentia, Jawitz Randburg,Apartment,March
20190969,2541,,30.0,0.0,None, None,None,None
20190970,34000,3,0.0,2.5,Melrose, Silver Property Group,Townhouse,April
20190972,15000,3,0.0,2.0,Riviera, Rowcor Properties Eleanor Jacobs,Apartment,April
20190973,7000,,0.0,0.0,None, None,None,None
20190974,8800,2,72.0,2.0,Glenvista, Rosjo Properties,Townhouse,April
20190975,14500,2,0.0,2.0,Rosebank, Sotheby's International Realty - Craighall,Apartment,July
20190976,19500,,350.0,0.0,None, None,None,None
20190977,10800,1,0.0,1.0,Houghton Estate, Silver Property Group,Apartment,April
20190978,10000,3,150.0,2.0,Parktown, Jawitz Johannesburg North,Apartment,June
20190979,17500,2,109.0,2.0,Parkwood, Seeff Sandton,Apartment,March
20190981,8200,,84.0,0.0,None, None,None,None
20190982,11750,1,53.0,1.0,Melrose, Silver Property Group,Apartment,March
20190984,8500,1,0.0,1.0,Saxonwold, Reliable Realty,Apartment,May
20190985,6800,,0.0,,None,  ,None,None
20190986,2200,,30.0,0.0,None, None,None,None
20190987,45000,2,147.0,2.0,Houghton Estate, Zareena Kara Properties,Apartment,March
20190988,23000,3,0.0,2.0,Craighall, Risely Properties,Apartment,May
20190989,25000,2,135.0,3.0,Saxonwold, Vered Estates,Apartment,April
20190990,7500,1,45.0,1.0,Norwood, Rental,Apartment,April
20190991,12000,2,0.0,1.0,Killarney, Inorbit Property,Apartment,April
20190993,5000,,0.0,0.0,None, None,None,None
20190994,28000,2,121.0,2.0,Rosebank, Knightbridge Properties,Apartment,February
20190995,4500,,30.0,0.0,None,  ,None,None
20190996,4052,1,60.0,1.0,Berea, Trafalgar Property Management,Apartment,March
20190997,26000,1,93.0,1.5,Melrose, Silver Property Group,Apartment,March
20190998,5500,,0.0,2.0,None,2 Bedroom Apartment / flat to rent in Mayfield Park - Johannesburg,None,None
20191000,5000,,35.0,0.0,None, None,None,None
20191005,14000,1,0.0,1.0,Melrose, Firzt Realty Company Firzt Realty Company,Apartment,March
20191006,2153,,20.0,0.0,None, None,None,None
20191007,1450,,20.0,0.0,None, None,None,None
20191008,11000,,99.0,0.0,None, None,None,None
20191010,7500,,30.0,0.0,None,  ,None,None
20191011,4051,,30.0,0.0,None, None,None,None
20191013,7500,,0.0,0.0,None, None,None,None
20191014,9000,1,80.0,1.0,Houghton Estate, Zareena Kara Properties,Apartment,May
20191015,7500,3,0.0,2.0,Albertskroon, Seeff Rentals Randburg,Apartment,May
20191016,7500,1,0.0,1.0,Killarney, Smile Property Group,Apartment,May
20191017,3308,,0.0,0.0,None,  ,None,None
20191018,11500,3,135.0,2.0,Emmarentia, Jawitz Randburg,Apartment,March
20191019,10500,3,0.0,2.0,Gresswold, Farah Properties,Townhouse,April
20191021,14000,3,0.0,3.0,Killarney, Jawitz Johannesburg North,Apartment,April
20191022,4595,,30.0,0.0,None, None,None,None
20191026,27000,3,215.0,2.5,Houghton Estate, Rental,Townhouse,May
20191030,6100,1,0.0,1.0,Oakdene, IHS Property Management,Apartment,April
20191031,5850,2,0.0,1.0,Rosettenville, Mafadi Property Management Office,Apartment,March
20191032,11000,2,180.0,1.0,Killarney, CP Inc Realtors,Apartment,April
20191033,17000,2,159.0,2.0,Killarney, CP Inc Realtors,Apartment,April
20191037,10800,3,0.0,2.0,Oakdene, IHS Property Management,Apartment,April
20191038,11500,,75.0,0.0,None, None,None,None
20191040,12000,2,88.0,2.0,Eltonhill, Knightbridge Properties,Apartment,March
20191041,12500,1,52.0,1.0,Melrose North, Seeff Sandton,Apartment,March
20191042,17000,,159.0,0.0,None, None,None,None
20191043,5000,,0.0,0.0,None,  ,None,None
20191044,40000,4,0.0,4.0,Melrose, Etchells & Young Property Brokers,Townhouse,February
20191045,7900,,0.0,0.0,None,Townhouse to rent in Houghton Estate - Johannesburg,None,None
20191047,10800,3,0.0,2.0,Oakdene, IHS Property Management,Apartment,April
20191048,9700,,0.0,0.0,None,Apartment / flat to rent in Braamfontein Werf - Johannesburg,None,None
20191049,3630,,0.0,0.0,None, None,None,None
20191050,6100,1,0.0,1.0,Oakdene, IHS Property Management,Apartment,April
20191051,6100,1,0.0,1.0,Oakdene, IHS Property Management,Apartment,April
20191052,11000,2,113.0,2.0,Parktown, Zareena Kara Properties,Apartment,April
20191053,9900,2,105.0,2.0,Marshalltown, Century 21 Sandton,Apartment,April
20191054,5850,,0.0,2.0,None,2 Bedroom Apartment / flat to rent in Alveda - Johannesburg,None,None
20191055,15000,3,0.0,2.0,Houghton Estate, Adrienne Hersch Properties,Apartment,July
20191056,10900,2,103.0,2.0,Houghton Estate, Rental,Apartment,March
20191057,11500,,100.0,0.0,None,  ,None,None
20191060,11000,1,0.0,1.0,Melrose, Silver Property Group,Apartment,March
20191061,5700,2,0.0,1.0,Linmeyer, Alpha Rentals,Townhouse,May
20191062,9000,1,0.0,1.0,Saxonwold, EA Properties,Apartment,May
20191063,3900,1,0.0,1.0,Johannesburg Central, IHS Property Management,Apartment,April
20191064,17000,3,121.0,2.0,Dunkeld West, Property.CoZa - Randburg,Apartment,April
20191065,9000,1,0.0,1.0,Houghton Estate, Zareena Kara Properties,Apartment,April
20191066,26000,1,93.0,1.0,Melrose Arch, Seeff Sandton,Apartment,March
20191067,12000,2,0.0,2.0,Melrose, Knightbridge Properties,Townhouse,March
20191068,7000,2,82.0,1.0,Rembrandt Park, Trafalgar Property Management,Apartment,April
20191069,27000,,0.0,0.0,None, None,None,None
20191070,2448,,20.0,0.0,None, None,None,None
20191071,6060,2,80.0,1.0,Joubert Park, Trafalgar Property Management,Apartment,April
20191072,8500,3,220870.0,2.0,Bassonia, Lencar Exclusive Properties,Townhouse,April
20191073,5700,2,50.0,1.0,Linmeyer, Rental,Townhouse,June
20191074,8950,2,62.0,1.0,Craighall Park, Rental,Apartment,June
20191076,5500,,0.0,0.0,None,  ,None,None
20191077,7500,1,57.0,1.0,Rosebank, RE/MAX Advantage,Apartment,April
20191078,12500,3,160.0,2.0,Bruma, Sotheby's International Realty - Craighall,Townhouse,April
20191080,3850,,0.0,0.0,None, None,None,None
20191081,5500,2,0.0,1.0,Meredale, IHS Property Management,Apartment,April
20191082,40000,4,300.0,4.0,Melrose, Silver Property Group,Townhouse,February
20191083,9000,1,0.0,1.0,Rosebank, You Realty,Apartment,May
20191086,10500,3,90692.0,2.0,Winchester Hills, Property.CoZa - Johannesburg South,Townhouse,February
20191089,14000,1,54.0,1.0,Houghton Estate, Silver Property Group,Apartment,March
20191090,10000,,0.0,0.0,None, None,None,None
20191092,3840,1,0.0,1.0,Kenilworth, Framework Property Services,Apartment,April
20191093,15000,,125.0,0.0,None, None,None,None
20191094,15000,,94.0,0.0,None,Townhouse to rent in Craighall Park - Johannesburg,None,None
20191096,7500,1,0.0,1.0,Houghton Estate, Rowcor Properties Eleanor Jacobs,Apartment,April
20191098,5247,1,80.0,1.0,Turffontein, Trafalgar Property Management,Apartment,April
20191099,12500,3,80002.0,3.5,Bassonia, Lencar Exclusive Properties,Townhouse,February
20191100,8000,3,0.0,1.0,Linmeyer, Property.CoZa - Johannesburg South,Townhouse,March
20191101,5800,2,320599.0,1.0,Aeroton, Lencar Exclusive Properties,Townhouse,January
20191102,32000,2,0.0,2.0,Melrose Estate, Hamiltons Property Portfolio,Apartment,April
20191103,25000,2,0.0,2.0,Saxonwold, Tyson Properties Fourways,Townhouse,April
20191104,4000,,0.0,0.0,None, None,None,None
20191106,6500,2,53.0,1.0,Ormonde, Chas Everitt Glenvista,Townhouse,June
20191108,5500,2,0.0,1.0,Meredale, IHS Property Management,Apartment,May
20191109,4400,2,0.0,1.0,West Turffontein, Rental,Apartment,March
20191110,50000,4,0.0,3.5,Houghton Estate, Silver Property Group,Townhouse,May
20191112,5800,1,50.0,1.0,Westdene, Rental,Apartment,March
20191114,6100,1,55.0,1.0,Emmarentia, Rental,Apartment,April
20191115,5700,,62.0,,Suideroord, ,Townhouse,None
20191116,7250,,43.0,0.0,None, None,None,None
20191118,10500,,0.0,0.0,None, None,None,None
20191120,3740,1,60.0,1.0,Berea, Trafalgar Property Management,Apartment,March
20191121,5000,1,0.0,1.0,Maboneng, Lukhanyo Property,Apartment,March
20191124,4345,1,76.0,1.0,Joubert Park, Trafalgar Property Management,Apartment,March
20191125,5900,2,72.0,1.0,Winchester Hills, Rental,Townhouse,May
20191127,7000,,0.0,,Oakdene, ,Townhouse,None
20191128,20000,3,229.0,2.5,Parkview, Property.CoZa - Randburg,Townhouse,March
20191129,3800,1,39.0,1.0,Newtown, Rental,Apartment,February
20191130,5500,1,26.0,1.0,Parktown North, Rental,Apartment,April
20191131,16000,,140.0,0.0,None, None,None,None
20191132,14000,1,61.0,1.0,Parkwood, Seeff Sandton,Apartment,February
20191133,4671,1,60.0,1.0,Hillbrow, Trafalgar Property Management,Apartment,March
20191134,4876,0.5,0.0,1.0,Richmond, Rent - A - Property,Apartment,April
20191135,4490,1,60.0,1.0,Rosettenville, Trafalgar Property Management,Apartment,April
20191136,11000,2,86.0,2.0,Craighall Park, You Realty,Apartment,March
20191138,8800,,122.0,0.0,None, None,None,None
20191140,4000,,0.0,0.0,None, None,None,None
20191141,6100,1,0.0,1.0,Oakdene, IHS Property Management,Apartment,April
20191142,19500,,0.0,0.0,None, None,None,None
20191143,10500,2,114.0,2.0,Houghton Estate, Rental,Apartment,March
20191144,15500,1,108.0,1.0,Killarney, Rental,Apartment,April
20191145,4800,2,63.0,1.0,Linmeyer, Trafalgar Property Management,Apartment,March
20191146,12500,,127.0,,Bassonia, ,Townhouse,None
20191149,3980,2,85.0,1.0,Forest Hill, Trafalgar Property Management,Apartment,March
20191152,12000,,0.0,0.0,None,  ,None,None
20191156,14000,3,180.0,3.0,Riviera, Rental,Apartment,March
20191160,10000,1,53.0,1.0,Melrose, Sotheby's International Realty - Craighall,Apartment,March
20191161,16690,,0.0,0.0,None, None,None,None
20191163,4500,1,39.0,1.0,Braamfontein, Rental,Apartment,February
20191164,4950,2,60.0,1.0,Jeppestown, Trafalgar Property Management,Apartment,March
20191165,6500,,0.0,0.0,None, None,None,None
20191166,16000,3,142.0,2.0,Waverley, Sotheby's International Realty - Craighall,Townhouse,March
20191170,6750,,0.0,0.0,None, None,None,None
20191171,15000,,0.0,0.0,None, None,None,None
20191172,4850,,1.0,0.0,None, None,None,None
20191175,16000,2,150.0,2.0,Birdhaven, Frankie Bell's Real Estate,Apartment,April
20191178,8500,,0.0,0.0,None, None,None,None
20191179,11500,1,52.0,1.0,Melrose, Silver Property Group,Apartment,April
20191180,3800,1,0.0,1.0,Johannesburg Central, AFHCO Africa Housing Company,Apartment,March
20191181,45000,2,0.0,2.0,Melrose Arch, Tyson Properties Fourways,Apartment,April
20191182,5000,,60.0,0.0,None,  ,None,None
20191183,4500,1,90700.0,1.0,Berea, Trafalgar Property Management,Apartment,March
20191184,40000,4,600.0,4.0,Melrose North, Neo Estates - Johannesburg,Townhouse,May
20191185,10535,1,0.0,1.0,Melrose Arch, Mafadi Property Management Office,Apartment,April
20191186,8500,,0.0,0.0,None, None,None,None
20191187,13000,3,0.0,2.0,Glenvista, Ryx Renting,Apartment,May
20191188,4900,2,0.0,2.0,Eastcliff, Rental,Apartment,April
20191189,65000,4,403.0,4.5,Houghton Estate, Alan Becker Properties,Apartment,April
20191190,25000,2,0.0,2.0,Dunkeld, Firzt Realty Company Firzt Realty Company,Apartment,March
20191191,4250,,0.0,0.0,None, None,None,None
20191192,6900,2,75.0,1.0,Glenvista, DWC Realtors,Apartment,April
20191194,10000,2,100.0,2.0,Forest Town, Rental,Apartment,April
20191196,8000,2,0.0,2.0,Oakdene, Astrodon Real Estate Rentals,Apartment,April
20191199,2563,,10.0,0.0,None, None,None,None
20191200,5000,,31.0,0.0,None, None,None,None
20191201,5600,2,0.0,1.0,Winchester Hills, PropertyCloud,Townhouse,April
20191202,4000,1,60.0,1.0,Yeoville, Trafalgar Property Management,Apartment,April
20191203,6100,1,38.0,1.0,Johannesburg Central, Trafalgar Property Management,Apartment,March
20191205,5000,1,80.0,1.0,Yeoville, Trafalgar Property Management,Apartment,March
20191206,17000,2,0.0,2.0,Dunkeld, You Realty,Apartment,April
20191207,7500,1,0.0,1.0,Parkhurst, Kings Estates,Apartment,April
20191208,4510,1,60.0,1.0,Bellevue East, Trafalgar Property Management,Apartment,April
20191209,4800,1,38.0,1.0,Marshalltown, Rental,Apartment,February
20191211,16500,2,0.0,2.0,Melrose Arch, Guy Gillespie Properties,Apartment,April
20191212,10500,3,0.0,2.0,Winchester Hills, Rental,Townhouse,March
20191214,5000,2,0.0,1.0,Ridgeway, NV Homes,Townhouse,September
20191216,15000,3,0.0,2.0,Glenhazel, Jawitz Bedfordview,Apartment,March
20191217,18000,,77.0,0.0,None, None,None,None
20191220,18000,2,100.0,2.0,Melrose, Rawson Properties Sandton Apartment Living,Apartment,March
20191222,9000,2,120.0,2.5,Kew, Leapfrog JHB North East,Townhouse,March
20191223,11500,2,0.0,1.0,Rosebank, Tyson Properties Fourways,Apartment,April
20191224,4500,,0.0,0.0,None, None,None,None
20191225,17000,,290.0,0.0,None, None,None,None
20191226,4600,,28.0,0.0,None, None,None,None
20191227,4620,1,0.0,1.0,City & Suburban, Mafadi Property Management Office,Apartment,February
20191229,8000,,0.0,0.0,None, None,None,None
20191231,14700,2,112.0,2.0,Westcliff, Meridian Realty,Apartment,March
20191232,7000,1,0.0,1.0,Craighall Park, Kings Estates,Apartment,February
20191233,6000,,0.0,2.0,None,2 Bedroom Townhouse to rent in Ridgeway - Johannesburg,None,None
20191235,11000,,96.0,0.0,None, None,None,None
20191236,5300,2,0.0,1.0,Meredale, IHS Property Management,Apartment,April
20191237,20000,2,0.0,2.0,Killarney, Russell Fisher Properties,Apartment,April
20191238,6000,1,0.0,1.0,Braamfontein Werf, Property Tower,Apartment,March
20191239,9000,3,0.0,2.0,Gresswold, You Realty,Apartment,March
20191240,6350,1,54.0,1.0,New Doornfontein, Quorum Property Group,Apartment,March
20191241,7500,,61.0,0.0,None,  ,None,None
20191242,9800,2,0.0,1.0,Craighall, Silver Property Group,Apartment,March
20191243,6000,,46.0,,Naturena, ,Apartment,None
20191244,15900,,0.0,0.0,None,Apartment / flat to rent in Melrose - Johannesburg,None,None
20191245,12680,,0.0,0.0,None, None,None,None
20191246,5400,0.5,41.0,1.0,Johannesburg Central, Trafalgar Property Management,Apartment,April
20191247,18000,2,0.0,2.0,Rosebank, Etchells & Young Property Brokers,Apartment,April
20191248,6402,2.5,90.0,1.0,Berea, Trafalgar Property Management,Apartment,February
20191249,8000,,0.0,0.0,None, None,None,None
20191250,4600,1,35.0,1.0,Jeppestown, Rental,Apartment,April
20191251,11000,,80.0,0.0,None, None,None,None
20191254,5850,,0.0,2.0,None,2 Bedroom Apartment / flat to rent in Ridgeway - Johannesburg,None,None
20191255,7500,3,0.0,2.0,Glenanda, Seeff Meyersdal,Townhouse,May
20191256,12500,2,132.0,2.0,Killarney, ANGOR Property Specialist,Apartment,April
20191258,10500,,96.0,0.0,None, None,None,None
20191259,6000,,0.0,0.0,None, None,None,None
20191262,5500,,0.0,0.0,None, None,None,None
20191263,4000,1,0.0,1.0,Joubert Park, Mamela Estates,Apartment,April
20191264,6900,1,65.0,1.0,Malvern, Inorbit Property,Apartment,April
20191266,9750,3,132.0,2.0,Gresswold, You Realty,Apartment,April
20191269,8500,1,51.0,1.0,Parktown North, Seeff Sandton,Apartment,January
20191270,2400,0.5,40.0,1.0,Berea, Trafalgar Property Management,Apartment,May
20191272,19800,2,0.0,2.0,Rosebank, Etchells & Young Property Brokers,Apartment,March
20191273,6500,1,20073.0,1.0,New Doornfontein, Trafalgar Property Management,Apartment,March
20191274,14500,2,104.0,2.0,Saxonwold, Tyson Properties Fourways,Apartment,March
20191275,10000,1,0.0,1.0,Killarney, Urban Link JHB Zone 1,Apartment,March
20191276,8000,2,82.0,1.0,Bruma, Jawitz Bedfordview,Apartment,April
20191277,11500,2,140.0,2.0,Greenside, Linprop,Apartment,February
20191278,6999,1,0.0,1.0,Glenvista, Ryx Renting,Apartment,May
20191279,7500,2,0.0,1.0,Auckland Park, Skye Letting,Apartment,April
20191280,1990,,35.0,0.0,None, None,None,None
20191281,2550,,30.0,0.0,None, None,None,None
20191282,60000,3,331.0,3.5,Houghton Estate, Alan Becker Properties,Apartment,February
20191283,6650,2,0.0,1.0,Glenvista, Allegiance Properties - JHB South,Townhouse,March
20191284,18000,2,0.0,2.0,Melrose, Jawitz Johannesburg North,Apartment,April
20191285,6100,2,51.0,1.0,South Hills, 2LetNow - JHB,Apartment,May
20191286,16000,3,149.0,2.0,Linksfield, Property.Coza - Bryanston/Lonehill,Apartment,May
20191288,15000,,0.0,0.0,None, None,None,None
20191289,12000,2,82.0,2.0,Parkwood, Harcourts Heritage,Apartment,May
20191290,3960,1,55.0,1.0,Kenilworth, Lencar Exclusive Properties,Apartment,March
20191293,14000,2,150.0,2.0,Killarney, Russell Fisher Properties,Apartment,March
20191294,5000,2,0.0,1.0,Mondeor, Astrodon Real Estate Rentals,Apartment,March
20191295,16000,2,160.0,2.0,Killarney, Rental,Apartment,April
20191296,6100,2,51.0,1.0,Kibler Park, 2LetNow - JHB,Apartment,April
20191298,15000,,0.0,0.0,None,  ,None,None
20191299,7000,,0.0,0.0,None, None,None,None
20191300,6000,,0.0,0.0,None, None,None,None
20191301,5000,,0.0,0.0,None, None,None,None
20191303,7290,,50.0,0.0,None,  ,None,None
20191304,5300,2,0.0,1.0,Rosettenville, Mafadi Property Management Office,Apartment,March
20191305,7000,1,57.0,1.0,Sydenham, Rental,Apartment,May
20191310,8000,2,0.0,1.0,Roodepoort, Rental,Apartment,May
20191311,6000,,92.0,,Crown Gardens, ,Townhouse,None
20191313,7200,,0.0,0.0,None,Townhouse to rent in Parktown - Johannesburg,None,None
20191315,7000,3,130.0,2.0,Yeoville, Trafalgar Property Management,Apartment,April
20191316,17000,2,0.0,1.0,Rosebank, Renprop Residential,Apartment,May
20191317,10500,1,0.0,1.0,Riviera, Adrienne Hersch Properties,Apartment,March
20191318,8500,1,0.0,1.0,Waverley, Ezyprop,Apartment,April
20191320,6500,,170315.0,0.0,None, None,None,None
20191322,22000,,0.0,0.0,None, None,None,None
20191323,6500,,0.0,0.0,None, None,None,None
20191326,3150,,40.0,0.0,None,  ,None,None
20191328,3800,,0.0,0.0,None,  ,None,None
20191329,5850,,0.0,2.0,None,2 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg,None,None
20191330,4675,1,80.0,1.0,Yeoville, Trafalgar Property Management,Apartment,March
20191332,2600,,0.0,0.0,None, None,None,None
20191337,4641,1,60.0,1.0,Hillbrow, Trafalgar Property Management,Apartment,February
20191338,6000,1,0.0,1.0,Kensington, B-Sure Properties - Bedfordview,Townhouse,February
20191339,7500,1,72.0,1.0,Newtown, Engel & Volkers Hyde Park,Apartment,March
20191340,19000,2,118.0,2.0,Eltonhill, RE/MAX Advantage,Apartment,May
20191341,5000,1,0.0,1.0,Highlands North, Framework Property Services,Apartment,April
20191342,9000,1,54.0,1.0,Craighall Park, Adrienne Hersch Properties,Apartment,May
20191343,12500,3,0.0,2.0,Glenhazel, Firzt Realty Company Firzt Realty Company,Apartment,March
20191344,7500,,0.0,0.0,None,  ,None,None
20191345,5000,1,0.0,1.0,Maboneng, Lukhanyo Property,Apartment,March
20191346,5300,1,0.0,1.0,Meredale, Allegiance Properties - JHB South,Apartment,March
20191347,11000,2,87.0,1.0,Houghton Estate, Zareena Kara Properties,Apartment,May
20191349,2995,1,0.0,1.0,Johannesburg Central, Framework Property Services,Apartment,April
20191350,10700,3,50617.0,2.0,Bassonia, Lencar Exclusive Properties,Townhouse,May
20191351,4000,1,0.0,1.0,Malvern, Seeff - Johannesburg Central,Apartment,March
20191355,8800,2,0.0,2.0,Glenvista, Rental,Townhouse,April
20191356,16500,2,65.0,1.0,Rosebank, Silver Property Group,Apartment,April
20191357,11000,2,80.0,1.0,Melrose North, CP Inc Realtors,Apartment,April
20191359,2210,,20.0,0.0,None, None,None,None
20191360,7200,1,0.0,1.0,Melville, EA Properties,Apartment,March
20191362,4000,1,49.0,1.0,Maboneng, Rental,Apartment,March
20191363,3000,1,30.0,1.0,Marshalltown, Rental,Apartment,March
20191364,5500,2,51.0,1.0,Meredale, 2LetNow - JHB,Apartment,April
